type,name,alias,chart sku,file name,tags,category,cat1,cat2,category alias to replace,bundle_chart_thumb,bundle+chart images,1:1 gallery
bundle,"Blue and Tranquility, Clouds and Haze and Water",blue-and-tranquility-clouds-and-haze-and-water,A0B_10610,images/bundle/A05_10330_abst_deep_277.jpg,"abstract,abstract,abstract,abstract,abstract,abstract,abstract,nature,house,water,graphical,material,plant,motivational,sky,cloud,lightning,haze,night,blue,blue,lake,water,hut,step path,photo,pier,bungalow,lake,white,fishing net,circle,metallic,pattern,black white,symmetrical,bar,water,rain,wet,blue,iron,steel,leaf vein,black white,line art,vein,leaf,stone,bridge,stone path,water,black white,meditation,zen",nature,abstract,nature,,images/bundle/gallery/A05_bundle_chart_thumb_762.jpg,images/bundle/gallery/A05_1054_room_1a_762.jpg|images/bundle/gallery/A05_abs_deep_sizes_decor_n_chart_combo2_dog_762.jpg|images/bundle/gallery/A0B_425_762.jpg|images/bundle/gallery/A05_abs_blue_01_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A05_abs_blue_02_thin_V_A2_59_4_42_762.jpg|images/bundle/gallery/A05_abs_blue_03_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42p2_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42_p1_762.jpg|images/bundle/gallery/A05_abs_blue_04_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A05_abs_blue_05_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A05_abs_blue_06_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A05_abs_blue_07_thin_H_A4_29_7_21_762.jpg|images/bundle/gallery/A05_sq_1058_room_1_762.jpg|images/bundle/gallery/A05_sq_interior_4192596_762.jpg,A05_abs_blue_01_thin_V_A2_59_4_42
,,,,images/bundle/A05_10340_abst_deep_277.jpg,,,abstract,house,,,,A05_abs_blue_02_thin_V_A2_59_4_42
,,,,images/bundle/A05_10350_abst_deep_277.jpg,,,abstract,water,,,,A05_abs_blue_03_thin_V_A3_29_7_42
,,,,images/bundle/A05_10360_abst_deep_277.jpg,,,abstract,graphical,,,,A05_abs_blue_04_thin_V_A3_29_7_42
,,,,images/bundle/A05_10370_abst_deep_277.jpg,,,abstract,material,,,,A05_abs_blue_05_thin_V_A3_29_7_42
,,,,images/bundle/A05_10380_abst_deep_277.jpg,,,abstract,plant,,,,A05_abs_blue_06_thin_V_A3_29_7_42
,,,,images/bundle/A05_10390_abst_deep_277.jpg,,,abstract,motivational,,,,A05_abs_blue_07_thin_H_A4_29_7_21
bundle,Antique Maps Of The World and Europe,antique-maps-of-the-world-and-europe,A0A_10630,images/bundle/A06_10400_map_world_eu1_277.jpg,"map,map,abstract,abstract,map,map,map,map,historical,historical,castle,castle,historical,historical,historical,historical,1570,antique,vintage,world,map,brown,1752,antique,vintage,world,map,brown,painting,artistic,europe,church,blue,painting,artistic,europe,church,blue,1717,antique,vintage,brown,world,1740,antique,vintage,brown,world,1839,antique,vintage,brown,europe,1827,antique,vintage,brown,europe",historical,map,historical,,images/bundle/gallery/A06_bundle_chart_thumb_762.jpg,images/bundle/gallery/A06_1160_room_1a_762.jpg|images/bundle/gallery/A06_map_sizes_decor_n_chart_combo2_dog_762.jpg|images/bundle/gallery/A0B_425_762.jpg|images/bundle/gallery/A06_map1_01_narrow_H_A2_59_4_42_762.jpg|images/bundle/gallery/A06_map1_02_narrow_H_A2_59_4_42_762.jpg|images/bundle/gallery/A06_map1_03_narrow_V_40_80_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42p2_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42_p1_762.jpg|images/bundle/gallery/A06_map1_04_narrow_V_40_80_762.jpg|images/bundle/gallery/A06_map1_05_narrow_H_A3_29_7_42_762.jpg|images/bundle/gallery/A06_map1_06_narrow_H_A3_29_7_42_762.jpg|images/bundle/gallery/A06_map1_07_narrow_H_A4_29_7_21_762.jpg|images/bundle/gallery/A06_map1_08_narrow_H_A4_29_7_21_762.jpg|images/bundle/gallery/A06_sq_671972677_762.jpg|images/bundle/gallery/A06_sq_754931710_762.jpg,A06_map1_01_narrow_H_A2_59_4_42
,,,,images/bundle/A06_10410_map_world_eu1_277.jpg,,,map,historical,,,,A06_map1_02_narrow_H_A2_59_4_42
,,,,images/bundle/A06_10420_map_world_eu1_277.jpg,,,abstract,castle,,,,A06_map1_03_narrow_V_40_80
,,,,images/bundle/A06_10430_map_world_eu1_277.jpg,,,abstract,castle,,,,A06_map1_04_narrow_V_40_80
,,,,images/bundle/A06_10440_map_world_eu1_277.jpg,,,map,historical,,,,A06_map1_05_narrow_H_A3_29_7_42
,,,,images/bundle/A06_10450_map_world_eu1_277.jpg,,,map,historical,,,,A06_map1_06_narrow_H_A3_29_7_42
,,,,images/bundle/A06_10460_map_world_eu1_277.jpg,,,map,historical,,,,A06_map1_07_narrow_H_A4_29_7_21
,,,,images/bundle/A06_10470_map_world_eu1_277.jpg,,,map,historical,,,,A06_map1_08_narrow_H_A4_29_7_21
bundle,"Vincent Van Gogh, Impressium",vincent-van-gogh-impressium,A0A_10630,images/bundle/A07_10480_impr_gogh_277.jpg,"painting,painting,painting,painting,painting,painting,abstract,impressionism,impressionism,impressionism,impressionism,impressionism,impressionism,Sublimation,1889,abstract,painting,Vincent Van Gogh,blue,wavy,The Starry Night,1883,abstract,painting,Vincent Van Gogh,field,countryside,Flower Beds in Holland,1887,abstract,painting,Vincent Van Gogh,bridge,Fishing in Spring,Angler und Boote an der Pont de Clichy,1887,abstract,painting,Vincent Van Gogh,lady,garden,Square Saint-Pierre, Paris,1888,abstract,painting,Vincent Van Gogh,shoes,1887,abstract,painting,Vincent Van Gogh,Self-Portrait with a Straw Hat,cat,kitty,painting,Vincent Van Gogh,not van gogh work",impressionism,painting,impressionism,,images/bundle/gallery/A07_bundle_chart_thumb_762.jpg,images/bundle/gallery/A07_sq_interior_3575819_762.jpg|images/bundle/gallery/A07_gogh_sizes_decor_n_chart_combo2_cat_762.jpg|images/bundle/gallery/A0A_1251_762.jpg|images/bundle/gallery/A07_gogh1_01_thin_H_60_84_762.jpg|images/bundle/gallery/A07_gogh1_02_thin_H_A2_59_4_42_762.jpg|images/bundle/gallery/A07_gogh1_5_2_thin_V_40_40_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_1_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_2_762.jpg|images/bundle/gallery/A07_gogh1_03_thin_H_A2_59_4_42_762.jpg|images/bundle/gallery/A07_gogh1_04_thin_H_A2_59_4_42_762.jpg|images/bundle/gallery/A07_gogh1_6_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A07_gogh1_7_thin_V_30_30_762.jpg|images/bundle/gallery/A07_sq_1107_room_1_762.jpg|images/bundle/gallery/A07_sq_Pngtree_3d_contemporary_living_room_interior_4293757_762.jpg,A07_gogh1_01_thin_H_60_84
,,,,images/bundle/A07_10490_impr_gogh_277.jpg,,,painting,impressionism,,,,A07_gogh1_02_thin_H_A2_59_4_42
,,,,images/bundle/A07_10500_impr_gogh_277.jpg,,,painting,impressionism,,,,A07_gogh1_03_thin_H_A2_59_4_42
,,,,images/bundle/A07_10510_impr_gogh_277.jpg,,,painting,impressionism,,,,A07_gogh1_04_thin_H_A2_59_4_42
,,,,images/bundle/A07_10520_impr_gogh_277.jpg,,,painting,impressionism,,,,A07_gogh1_5_2_thin_V_40_40
,,,,images/bundle/A07_10530_impr_gogh_277.jpg,,,painting,impressionism,,,,A07_gogh1_6_thin_V_A4_29_7_21
,,,,images/bundle/A07_10540_impr_gogh_277.jpg,,,abstract,Sublimation,,,,A07_gogh1_7_thin_V_30_30
bundle,Educational Charts,educational-charts,A0B_10610,images/bundle/A08_10550_Ed_ABC_277.jpg,"educational,educational,educational,educational,educational,educational,educational,educational,painting,painting,painting,painting,painting,painting,illustration,illustration,children,Ant,Bear,Chipmunk,Dolphine,Elephant,Fox,Giraffe,Hamster,Ibis,Jaguar,Kangaroo,Lion,Mouse,Numbat,Otter,Panda,Quokka,Robin,Viper,Walrus,Xianglong,Yak,Zebra,Crow,Seagull,Chick,Ostrich,watercolor,children,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,number,watercolor,children,Dinosaur,Apatosaurus,Barosaurus,Ceratosaurus,Falcarius,Dreadnoughtus,Guanlong,Harpymimus,Einiosaurus,Ichthyovenator,Juravenator,Kentrosaurus,Leptoceratops,Maiasaura,Nyctosaurus,Olorotitan,Pteranodon longiceps,Rhamphorhynchus,Vulcanodon,Wuerhosaurus,Xianglong,Yinlong,Zalmoxes,Unaysaurus,watercolor,children,vegetable,fruit,veggie,Fruits & Vegetables,Asparagus,Beetroot,Carrot,Blackberry,Eggplant,Fennel,Garlic,Hazelnut,Iceberg Lettuce,Jalapeño,Kale,Lemon,Mango,Nectarine,Radish,Strawberry,Tomato,Uglifruit,Plum,Watermelon,Yellow Plum,Yam,Zucchini,watercolor,children,farm animal,On the Farm,Sheep,Quail,Blue Peacock,Goat,Pig,Cow,Horse,Cat,Dog,Donkey,Squirrel,Goose,Duck,Turkey,Ostrich,Rabbit,Chicken,Frog,watercolor,children,wild animal,Wild Animals,Rhinoceros,Elephant,Deer,Anteater,Racoon,Hippopotamus,Antelope,Wildbeest,Cheetah,Jaguar,Hedgehog,Gorilla,Monkey,Warthog,Wolf,Skunk,African Wild Dog,Zebra,Giraffe,Meerkat,Echidna,Leopard,watercolor,body,My Body,Eyebrow,Head,Tooth,Ear,Hair,Chin,Eye,Shoulder,Nose,Lip,Back,Elbow,Mouth,Arm,Tongue,Knee,Buttocks,Chest,Finger,Hand,Leg,Toe,children,height,space,plane,cartoon",painting,educational,painting,educational/educational-painting,images/bundle/gallery/A08_bundle_chart_thumb_762.jpg,images/bundle/gallery/A08_503_762.jpg|images/bundle/gallery/A08_edu_bonus_cat_w_762.jpg|images/bundle/gallery/A0A_1251_762.jpg|images/bundle/gallery/A08_edu_01_A2_59_4_42_762.jpg|images/bundle/gallery/A08_edu_03_A2_59_4_42_762.jpg|images/bundle/gallery/A08_edu_07_A2_59_4_42_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_1_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_2_762.jpg|images/bundle/gallery/A08_821_762.jpg|images/bundle/gallery/A08_1039_room_1a_762.jpg|images/bundle/gallery/A08_edu_02_A2_59_4_42_762.jpg|images/bundle/gallery/A08_edu_04_A2_59_4_42_762.jpg|images/bundle/gallery/A08_edu_05_A2_59_4_42_762.jpg|images/bundle/gallery/A08_edu_06_A2_59_4_42_762.jpg,A08_edu_01_A2_59_4_42
,,,,images/bundle/A08_10560_Ed_123_277.jpg,,,educational,painting,educational/educational-painting,,,A08_edu_02_A2_59_4_42
,,,,images/bundle/A08_10570_Ed_dino_277.jpg,,,educational,painting,educational/educational-painting,,,A08_edu_03_A2_59_4_42
,,,,images/bundle/A08_10580_Ed_veggie_277.jpg,,,educational,painting,educational/educational-painting,,,A08_edu_04_A2_59_4_42
,,,,images/bundle/A08_10590_Ed_farm_277.jpg,,,educational,painting,educational/educational-painting,,,A08_edu_05_A2_59_4_42
,,,,images/bundle/A08_10600_Ed_animal_277.jpg,,,educational,painting,educational/educational-painting,,,A08_edu_06_A2_59_4_42
,,,,images/bundle/A08_10610_Ed_body_277.jpg,,,educational,illustration,,,,A08_edu_07_A2_59_4_42
,,,,images/bundle/A08_10620_Ed_ht_chart_277.jpg,,,educational,illustration,,,,"no framed file, use same print file"
